datetime,average,volume
2010-07-17 00:00:00,0.05,20
2010-07-18 00:00:00,0.07,75.01
2010-07-19 00:00:00,0.09,574
2010-07-20 00:00:00,0.08,262
2010-07-21 00:00:00,0.07,575
2010-07-22 00:00:00,0.06,2160
2010-07-23 00:00:00,0.06,2402.5
2010-07-24 00:00:00,0.05,496.32
2010-07-25 00:00:00,0.05,1551.48
2010-07-26 00:00:00,0.05,877
2010-07-27 00:00:00,0.06,3373.69
2010-07-28 00:00:00,0.06,4390.29
2010-07-29 00:00:00,0.07,8058.49
2010-07-30 00:00:00,0.07,3020.85
2010-07-31 00:00:00,0.06,4022.25
2010-08-01 00:00:00,0.06,2601
2010-08-02 00:00:00,0.06,3599
2010-08-03 00:00:00,0.06,9821.46
2010-08-04 00:00:00,0.06,3494
2010-08-05 00:00:00,0.06,5034.07
2010-08-06 00:00:00,0.06,1395
2010-08-07 00:00:00,0.06,2619
2010-08-08 00:00:00,0.06,2201
2010-08-09 00:00:00,0.07,13631.09
2010-08-10 00:00:00,0.07,1310.39
2010-08-11 00:00:00,0.07,14061.18
2010-08-12 00:00:00,0.07,2062.31
2010-08-13 00:00:00,0.07,3591.77
2010-08-14 00:00:00,0.07,4404.2
2010-08-15 00:00:00,0.07,4462.87
2010-08-16 00:00:00,0.06,10731.47
2010-08-17 00:00:00,0.07,13185.74
2010-08-18 00:00:00,0.07,2953.98
2010-08-19 00:00:00,0.07,741.12
2010-08-20 00:00:00,0.07,4199.75
2010-08-21 00:00:00,0.07,10443.86
2010-08-22 00:00:00,0.06,18648.97
2010-08-23 00:00:00,0.07,4297.49
2010-08-24 00:00:00,0.07,6711.76
2010-08-25 00:00:00,0.07,4228.88
2010-08-26 00:00:00,0.07,3870.01
2010-08-27 00:00:00,0.06,9009.97
2010-08-28 00:00:00,0.06,6174.01
2010-08-29 00:00:00,0.06,3173.4
2010-08-30 00:00:00,0.06,34193.14
2010-08-31 00:00:00,0.06,14886.91
2010-09-01 00:00:00,0.06,7164.72
2010-09-02 00:00:00,0.06,8150.73
2010-09-03 00:00:00,0.06,892
2010-09-04 00:00:00,0.06,3301
2010-09-05 00:00:00,0.06,8459.24
2010-09-06 00:00:00,0.06,910
2010-09-07 00:00:00,0.06,3457.19
2010-09-08 00:00:00,0.06,2345.41
2010-09-09 00:00:00,0.06,1733.5
2010-09-10 00:00:00,0.06,4939.79
2010-09-11 00:00:00,0.06,7749.14
2010-09-12 00:00:00,0.06,793.88
2010-09-13 00:00:00,0.06,10076.34
2010-09-14 00:00:00,0.06,14014.81
2010-09-15 00:00:00,0.06,3651.85
2010-09-16 00:00:00,0.06,730
2010-09-17 00:00:00,0.06,7262
2010-09-18 00:00:00,0.06,7092.61
2010-09-19 00:00:00,0.06,12852.17
2010-09-20 00:00:00,0.06,14307.94
2010-09-21 00:00:00,0.06,5735.95
2010-09-22 00:00:00,0.06,11560.4
2010-09-23 00:00:00,0.06,15505.33
2010-09-24 00:00:00,0.06,684.38
2010-09-25 00:00:00,0.06,2152.5
2010-09-26 00:00:00,0.06,12058.13
2010-09-27 00:00:00,0.06,10752.25
2010-09-28 00:00:00,0.06,7086.15
2010-09-29 00:00:00,0.06,23475.64
2010-09-30 00:00:00,0.06,7917.03
2010-10-01 00:00:00,0.06,1717.45
2010-10-02 00:00:00,0.06,13059.74
2010-10-03 00:00:00,0.06,7172.63
2010-10-04 00:00:00,0.06,33995.37
2010-10-05 00:00:00,0.06,27526.61
2010-10-06 00:00:00,0.06,33433.3
2010-10-07 00:00:00,0.06,43692.98
2010-10-08 00:00:00,0.08,139287.29
2010-10-09 00:00:00,0.09,187846.95
2010-10-10 00:00:00,0.1,50684.19
2010-10-11 00:00:00,0.1,14092.91
2010-10-12 00:00:00,0.09,25660.75
2010-10-13 00:00:00,0.1,47557.27
2010-10-14 00:00:00,0.1,37217.28
2010-10-15 00:00:00,0.1,24643.33
2010-10-16 00:00:00,0.1,6284.71
2010-10-17 00:00:00,0.1,18222.19
2010-10-18 00:00:00,0.1,25665.09
2010-10-19 00:00:00,0.1,6235.1
2010-10-20 00:00:00,0.1,31855
2010-10-21 00:00:00,0.1,44867
2010-10-22 00:00:00,0.11,34603.91
2010-10-23 00:00:00,0.11,4423.47
2010-10-24 00:00:00,0.11,13800.23
2010-10-25 00:00:00,0.15,30299.64
2010-10-26 00:00:00,0.16,19219.13
2010-10-27 00:00:00,0.18,65605.87
2010-10-28 00:00:00,0.19,21525.04
2010-10-29 00:00:00,0.19,28686.85
2010-10-30 00:00:00,0.19,26708.94
2010-10-31 00:00:00,0.19,40337.76
2010-11-01 00:00:00,0.19,21258.61
2010-11-02 00:00:00,0.19,5853.39
2010-11-03 00:00:00,0.19,61472.63
2010-11-04 00:00:00,0.21,29698.43
2010-11-05 00:00:00,0.24,36622.07
2010-11-06 00:00:00,0.29,32756.13
2010-11-07 00:00:00,0.36,77218.72
2010-11-08 00:00:00,0.32,118203.83
2010-11-09 00:00:00,0.27,47983.39
2010-11-10 00:00:00,0.2,30387.03
2010-11-11 00:00:00,0.22,5031.88
2010-11-12 00:00:00,0.26,40720.39
2010-11-13 00:00:00,0.29,21915.57
2010-11-14 00:00:00,0.28,16844.33
2010-11-15 00:00:00,0.27,8507.74
2010-11-16 00:00:00,0.25,33931.01
2010-11-17 00:00:00,0.26,32871.6
2010-11-18 00:00:00,0.27,37446.67
2010-11-19 00:00:00,0.27,2157.56
2010-11-20 00:00:00,0.28,14652.69
2010-11-21 00:00:00,0.28,765
2010-11-22 00:00:00,0.28,28205.85
2010-11-23 00:00:00,0.28,4856.92
2010-11-24 00:00:00,0.28,2514.91
2010-11-25 00:00:00,0.28,1679.6
2010-11-26 00:00:00,0.28,33531.88
2010-11-27 00:00:00,0.28,1825.39
2010-11-28 00:00:00,0.28,20802.13
2010-11-29 00:00:00,0.25,35055.4
2010-11-30 00:00:00,0.21,21476.25
2010-12-01 00:00:00,0.21,8157.89
2010-12-02 00:00:00,0.24,20312.23
2010-12-03 00:00:00,0.25,2570.34
2010-12-04 00:00:00,0.23,28560.72
2010-12-05 00:00:00,0.21,5740.18
2010-12-06 00:00:00,0.2,4319.26
2010-12-07 00:00:00,0.22,24592.92
2010-12-08 00:00:00,0.23,3430.41
2010-12-09 00:00:00,0.21,21336.33
2010-12-10 00:00:00,0.19,1684.25
2010-12-11 00:00:00,0.22,5788.69
2010-12-12 00:00:00,0.21,1963.56
2010-12-13 00:00:00,0.22,6415.59
2010-12-14 00:00:00,0.23,10388.1
2010-12-15 00:00:00,0.24,3684.68
2010-12-16 00:00:00,0.25,14355.33
2010-12-17 00:00:00,0.25,525.51
2010-12-18 00:00:00,0.25,169.11
2010-12-19 00:00:00,0.24,2000.76
2010-12-20 00:00:00,0.26,10682.71
2010-12-21 00:00:00,0.25,9225.79
2010-12-22 00:00:00,0.25,3800.46
2010-12-23 00:00:00,0.25,8650.15
2010-12-24 00:00:00,0.25,5033.25
2010-12-25 00:00:00,0.25,703
2010-12-26 00:00:00,0.25,16584.97
2010-12-27 00:00:00,0.26,4935.49
2010-12-28 00:00:00,0.27,15438.71
2010-12-29 00:00:00,0.29,18609.14
2010-12-30 00:00:00,0.3,2539.87
2010-12-31 00:00:00,0.29,1453.72
2011-01-01 00:00:00,0.3,2821.24
2011-01-02 00:00:00,0.3,5352.11
2011-01-03 00:00:00,0.3,1425.19
2011-01-04 00:00:00,0.29,1879
2011-01-05 00:00:00,0.3,357.16
2011-01-06 00:00:00,0.3,3456.49
2011-01-07 00:00:00,0.31,42601.12
2011-01-08 00:00:00,0.31,1629.44
2011-01-09 00:00:00,0.32,1691.37
2011-01-10 00:00:00,0.32,10355.83
2011-01-11 00:00:00,0.32,4857.8
2011-01-12 00:00:00,0.34,31359.77
2011-01-13 00:00:00,0.36,20118.9
2011-01-14 00:00:00,0.39,27130.96
2011-01-15 00:00:00,0.39,1515.66
2011-01-16 00:00:00,0.39,2778.71
2011-01-17 00:00:00,0.35,18241.15
